;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
247;Model 2;Method 1;168;0.8;cost_nu;-0.1;-0.098;-0.098;0.02;0.012
248;Model 2;Method 1;168;0.8;(Intercept)_delta;-0.5;-0.518;-0.514;-0.036;0.03
249;Model 2;Method 1;168;0.8;semester2_delta;-0.25;-0.252;-0.249;-0.008;0.061
250;Model 2;Method 1;168;0.8;alpha;0.8;0.807;0.808;-0.009;0.002
251;Model 2;Method 1;168;0.95;sent_nu;0.1;0.111;0.109;-0.11;0.015
252;Model 2;Method 1;168;0.95;cost_nu;-0.1;-0.107;-0.108;-0.07;0.01
253;Model 2;Method 1;168;0.95;(Intercept)_delta;-0.5;-0.564;-0.559;-0.128;0.02
254;Model 2;Method 1;168;0.95;semester2_delta;-0.25;-0.273;-0.278;-0.092;0.052
255;Model 2;Method 1;168;0.95;alpha;0.95;0.936;0.937;0.015;0.001
256;Model 2;Method 2;84;0.35;sent_nu;0.1;0.108;0.103;-0.08;0.038
257;Model 2;Method 2;84;0.35;cost_nu;-0.1;-0.081;-0.083;0.19;0.032
258;Model 2;Method 2;84;0.35;(Intercept)_delta;-0.5;-1.031;-0.764;-1.062;1.281
259;Model 2;Method 2;84;0.35;semester2_delta;-0.25;-0.234;-0.188;0.064;0.45
260;Model 2;Method 2;84;0.35;alpha;0.35;0.46;0.458;-0.314;0.016
261;Model 2;Method 2;84;0.5;sent_nu;0.1;0.112;0.111;-0.12;0.04
262;Model 2;Method 2;84;0.5;cost_nu;-0.1;-0.099;-0.097;0.01;0.04
263;Model 2;Method 2;84;0.5;(Intercept)_delta;-0.5;-0.767;-0.639;-0.534;0.454
264;Model 2;Method 2;84;0.5;semester2_delta;-0.25;-0.242;-0.216;0.032;0.347
265;Model 2;Method 2;84;0.5;alpha;0.5;0.524;0.524;-0.048;0.006
266;Model 2;Method 2;84;0.65;sent_nu;0.1;0.109;0.109;-0.09;0.042
267;Model 2;Method 2;84;0.65;cost_nu;-0.1;-0.1;-0.099;0;0.038
268;Model 2;Method 2;84;0.65;(Intercept)_delta;-0.5;-1.782;-1.001;-2.564;3.935
269;Model 2;Method 2;84;0.65;semester2_delta;-0.25;-0.298;-0.265;-0.192;0.357
270;Model 2;Method 2;84;0.65;alpha;0.65;0.566;0.59;0.129;0.026
271;Model 2;Method 2;84;0.8;sent_nu;0.1;0.106;0.118;-0.06;0.045
272;Model 2;Method 2;84;0.8;cost_nu;-0.1;-0.103;-0.098;-0.03;0.032
273;Model 2;Method 2;84;0.8;(Intercept)_delta;-0.5;-2.225;-1.757;-3.45;5.694
274;Model 2;Method 2;84;0.8;semester2_delta;-0.25;-0.328;-0.287;-0.312;0.318
275;Model 2;Method 2;84;0.8;alpha;0.8;0.587;0.486;0.266;0.088
276;Model 2;Method 2;84;0.95;sent_nu;0.1;0.086;0.096;0.14;0.05
277;Model 2;Method 2;84;0.95;cost_nu;-0.1;-0.103;-0.107;-0.03;0.031
278;Model 2;Method 2;84;0.95;(Intercept)_delta;-0.5;-2.787;-2.469;-4.574;8.435
279;Model 2;Method 2;84;0.95;semester2_delta;-0.25;-0.558;-0.382;-1.232;0.874
280;Model 2;Method 2;84;0.95;alpha;0.95;0.556;0.421;0.415;0.216
281;Model 2;Method 2;144;0.35;sent_nu;0.1;0.057;0.054;0.43;0.04
282;Model 2;Method 2;144;0.35;cost_nu;-0.1;-0.059;-0.059;0.41;0.034
283;Model 2;Method 2;144;0.35;(Intercept)_delta;-0.5;-3.381;-3.411;-5.762;10.185
284;Model 2;Method 2;144;0.35;semester2_delta;-0.25;-0.997;-1.009;-2.988;1.506
285;Model 2;Method 2;144;0.35;alpha;0.35;0.452;0.448;-0.291;0.012
286;Model 2;Method 2;144;0.5;sent_nu;0.1;0.069;0.074;0.31;0.037
287;Model 2;Method 2;144;0.5;cost_nu;-0.1;-0.078;-0.076;0.22;0.034
288;Model 2;Method 2;144;0.5;(Intercept)_delta;-0.5;-2.556;-2.735;-4.112;6.278
289;Model 2;Method 2;144;0.5;semester2_delta;-0.25;-0.685;-0.631;-1.74;0.879
290;Model 2;Method 2;144;0.5;alpha;0.5;0.536;0.533;-0.072;0.005
291;Model 2;Method 2;144;0.65;sent_nu;0.1;0.108;0.104;-0.08;0.026
292;Model 2;Method 2;144;0.65;cost_nu;-0.1;-0.091;-0.091;0.09;0.023
293;Model 2;Method 2;144;0.65;(Intercept)_delta;-0.5;-0.547;-0.519;-0.094;0.045
294;Model 2;Method 2;144;0.65;semester2_delta;-0.25;-0.234;-0.228;0.064;0.112
295;Model 2;Method 2;144;0.65;alpha;0.65;0.669;0.67;-0.029;0.003
296;Model 2;Method 2;144;0.8;sent_nu;0.1;0.102;0.106;-0.02;0.022
297;Model 2;Method 2;144;0.8;cost_nu;-0.1;-0.099;-0.1;0.01;0.018
298;Model 2;Method 2;144;0.8;(Intercept)_delta;-0.5;-0.637;-0.63;-0.274;0.04
299;Model 2;Method 2;144;0.8;semester2_delta;-0.25;-0.257;-0.254;-0.028;0.071
300;Model 2;Method 2;144;0.8;alpha;0.8;0.807;0.809;-0.009;0.002
301;Model 2;Method 2;144;0.95;sent_nu;0.1;0.112;0.106;-0.12;0.018
302;Model 2;Method 2;144;0.95;cost_nu;-0.1;-0.107;-0.102;-0.07;0.013
303;Model 2;Method 2;144;0.95;(Intercept)_delta;-0.5;-0.679;-0.677;-0.358;0.051
304;Model 2;Method 2;144;0.95;semester2_delta;-0.25;-0.277;-0.271;-0.108;0.058
305;Model 2;Method 2;144;0.95;alpha;0.95;0.936;0.938;0.015;0.001
306;Model 2;Method 2;168;0.35;sent_nu;0.1;0.087;0.08;0.13;0.034
307;Model 2;Method 2;168;0.35;cost_nu;-0.1;-0.081;-0.085;0.19;0.029
308;Model 2;Method 2;168;0.35;(Intercept)_delta;-0.5;-2.562;-2.415;-4.124;5.219
309;Model 2;Method 2;168;0.35;semester2_delta;-0.25;-0.965;-0.99;-2.86;0.98
310;Model 2;Method 2;168;0.35;alpha;0.35;0.511;0.507;-0.46;0.026
311;Model 2;Method 2;168;0.5;sent_nu;0.1;0.055;0.056;0.45;0.035
312;Model 2;Method 2;168;0.5;cost_nu;-0.1;-0.079;-0.076;0.21;0.034
313;Model 2;Method 2;168;0.5;(Intercept)_delta;-0.5;-2.765;-2.753;-4.53;5.778
314;Model 2;Method 2;168;0.5;semester2_delta;-0.25;-0.846;-0.905;-2.384;0.856
315;Model 2;Method 2;168;0.5;alpha;0.5;0.553;0.55;-0.106;0.004
316;Model 2;Method 2;168;0.65;sent_nu;0.1;0.069;0.068;0.31;0.026
317;Model 2;Method 2;168;0.65;cost_nu;-0.1;-0.091;-0.093;0.09;0.024
318;Model 2;Method 2;168;0.65;(Intercept)_delta;-0.5;-2.108;-2.194;-3.216;3.503
319;Model 2;Method 2;168;0.65;semester2_delta;-0.25;-0.478;-0.449;-0.912;0.294
320;Model 2;Method 2;168;0.65;alpha;0.65;0.671;0.671;-0.032;0.004
321;Model 2;Method 2;168;0.8;sent_nu;0.1;0.106;0.106;-0.06;0.017
322;Model 2;Method 2;168;0.8;cost_nu;-0.1;-0.097;-0.096;0.03;0.015
323;Model 2;Method 2;168;0.8;(Intercept)_delta;-0.5;-0.622;-0.618;-0.244;0.032
324;Model 2;Method 2;168;0.8;semester2_delta;-0.25;-0.254;-0.248;-0.016;0.057
325;Model 2;Method 2;168;0.8;alpha;0.8;0.808;0.809;-0.01;0.002
326;Model 2;Method 2;168;0.95;sent_nu;0.1;0.116;0.116;-0.16;0.015
327;Model 2;Method 2;168;0.95;cost_nu;-0.1;-0.107;-0.109;-0.07;0.009
328;Model 2;Method 2;168;0.95;(Intercept)_delta;-0.5;-0.678;-0.679;-0.356;0.046
329;Model 2;Method 2;168;0.95;semester2_delta;-0.25;-0.267;-0.273;-0.068;0.048
330;Model 2;Method 2;168;0.95;alpha;0.95;0.936;0.937;0.015;0.001
331;Model 3;Method 1;84;0.35;(Intercept)_nu;2.5;2.539;2.538;-0.016;0.013
332;Model 3;Method 1;84;0.35;sent_nu;0.1;0.101;0.102;-0.01;0.007
333;Model 3;Method 1;84;0.35;cost_nu;-0.1;-0.103;-0.104;-0.03;0.006
334;Model 3;Method 1;84;0.35;(Intercept)_delta;-3.5;-3.613;-3.521;-0.032;0.549
335;Model 3;Method 1;84;0.35;semester2_delta;-0.25;-0.268;-0.262;-0.072;0.269
336;Model 3;Method 1;84;0.35;alpha;0.35;0.427;0.424;-0.22;0.01
337;Model 3;Method 1;84;0.5;(Intercept)_nu;2.5;2.526;2.527;-0.01;0.012
338;Model 3;Method 1;84;0.5;sent_nu;0.1;0.098;0.098;0.02;0.01
339;Model 3;Method 1;84;0.5;cost_nu;-0.1;-0.103;-0.102;-0.03;0.007
340;Model 3;Method 1;84;0.5;(Intercept)_delta;-3.5;-3.65;-3.618;-0.043;0.353
341;Model 3;Method 1;84;0.5;semester2_delta;-0.25;-0.261;-0.256;-0.044;0.269
342;Model 3;Method 1;84;0.5;alpha;0.5;0.531;0.53;-0.062;0.006
343;Model 3;Method 1;84;0.65;(Intercept)_nu;2.5;2.522;2.521;-0.009;0.013
344;Model 3;Method 1;84;0.65;sent_nu;0.1;0.102;0.104;-0.02;0.01
345;Model 3;Method 1;84;0.65;cost_nu;-0.1;-0.101;-0.101;-0.01;0.007
346;Model 3;Method 1;84;0.65;(Intercept)_delta;-3.5;-3.62;-3.591;-0.034;0.246
347;Model 3;Method 1;84;0.65;semester2_delta;-0.25;-0.285;-0.266;-0.14;0.248
348;Model 3;Method 1;84;0.65;alpha;0.65;0.668;0.665;-0.028;0.006
349;Model 3;Method 1;84;0.8;(Intercept)_nu;2.5;2.544;2.54;-0.018;0.014
350;Model 3;Method 1;84;0.8;sent_nu;0.1;0.1;0.099;0;0.01
351;Model 3;Method 1;84;0.8;cost_nu;-0.1;-0.102;-0.102;-0.02;0.005
352;Model 3;Method 1;84;0.8;(Intercept)_delta;-3.5;-3.683;-3.651;-0.052;0.246
353;Model 3;Method 1;84;0.8;semester2_delta;-0.25;-0.27;-0.267;-0.08;0.238
354;Model 3;Method 1;84;0.8;alpha;0.8;0.82;0.82;-0.025;0.006
355;Model 3;Method 1;84;0.95;(Intercept)_nu;2.5;2.568;2.567;-0.027;0.016
356;Model 3;Method 1;84;0.95;sent_nu;0.1;0.098;0.1;0.02;0.007
357;Model 3;Method 1;84;0.95;cost_nu;-0.1;-0.1;-0.1;0;0.003
358;Model 3;Method 1;84;0.95;(Intercept)_delta;-3.5;-3.747;-3.725;-0.071;0.256
359;Model 3;Method 1;84;0.95;semester2_delta;-0.25;-0.29;-0.292;-0.16;0.226
360;Model 3;Method 1;84;0.95;alpha;0.95;0.949;0.961;0.001;0.002
361;Model 3;Method 1;144;0.35;(Intercept)_nu;2.5;2.53;2.531;-0.012;0.007
362;Model 3;Method 1;144;0.35;sent_nu;0.1;0.102;0.103;-0.02;0.004
363;Model 3;Method 1;144;0.35;cost_nu;-0.1;-0.101;-0.101;-0.01;0.004
364;Model 3;Method 1;144;0.35;(Intercept)_delta;-3.5;-3.484;-3.455;0.005;0.227
365;Model 3;Method 1;144;0.35;semester2_delta;-0.25;-0.272;-0.263;-0.088;0.16
366;Model 3;Method 1;144;0.35;alpha;0.35;0.419;0.418;-0.197;0.007
367;Model 3;Method 1;144;0.5;(Intercept)_nu;2.5;2.51;2.511;-0.004;0.007
368;Model 3;Method 1;144;0.5;sent_nu;0.1;0.1;0.1;0;0.006
369;Model 3;Method 1;144;0.5;cost_nu;-0.1;-0.103;-0.103;-0.03;0.004
370;Model 3;Method 1;144;0.5;(Intercept)_delta;-3.5;-3.617;-3.595;-0.033;0.218
371;Model 3;Method 1;144;0.5;semester2_delta;-0.25;-0.275;-0.266;-0.1;0.155
372;Model 3;Method 1;144;0.5;alpha;0.5;0.515;0.511;-0.03;0.003
373;Model 3;Method 1;144;0.65;(Intercept)_nu;2.5;2.517;2.515;-0.007;0.007
374;Model 3;Method 1;144;0.65;sent_nu;0.1;0.098;0.099;0.02;0.006
375;Model 3;Method 1;144;0.65;cost_nu;-0.1;-0.101;-0.102;-0.01;0.004
376;Model 3;Method 1;144;0.65;(Intercept)_delta;-3.5;-3.632;-3.613;-0.038;0.158
377;Model 3;Method 1;144;0.65;semester2_delta;-0.25;-0.266;-0.258;-0.064;0.132
378;Model 3;Method 1;144;0.65;alpha;0.65;0.661;0.664;-0.017;0.004
379;Model 3;Method 1;144;0.8;(Intercept)_nu;2.5;2.53;2.531;-0.012;0.008
380;Model 3;Method 1;144;0.8;sent_nu;0.1;0.101;0.1;-0.01;0.005
381;Model 3;Method 1;144;0.8;cost_nu;-0.1;-0.1;-0.1;0;0.003
382;Model 3;Method 1;144;0.8;(Intercept)_delta;-3.5;-3.62;-3.607;-0.034;0.135
383;Model 3;Method 1;144;0.8;semester2_delta;-0.25;-0.26;-0.272;-0.04;0.119
384;Model 3;Method 1;144;0.8;alpha;0.8;0.811;0.811;-0.014;0.003
385;Model 3;Method 1;144;0.95;(Intercept)_nu;2.5;2.557;2.554;-0.023;0.01
386;Model 3;Method 1;144;0.95;sent_nu;0.1;0.098;0.096;0.02;0.004
387;Model 3;Method 1;144;0.95;cost_nu;-0.1;-0.1;-0.1;0;0.002
388;Model 3;Method 1;144;0.95;(Intercept)_delta;-3.5;-3.696;-3.686;-0.056;0.153
389;Model 3;Method 1;144;0.95;semester2_delta;-0.25;-0.277;-0.279;-0.108;0.115
390;Model 3;Method 1;144;0.95;alpha;0.95;0.944;0.95;0.006;0.002
391;Model 3;Method 1;168;0.35;(Intercept)_nu;2.5;2.53;2.53;-0.012;0.007
392;Model 3;Method 1;168;0.35;sent_nu;0.1;0.099;0.098;0.01;0.004
393;Model 3;Method 1;168;0.35;cost_nu;-0.1;-0.102;-0.101;-0.02;0.003
394;Model 3;Method 1;168;0.35;(Intercept)_delta;-3.5;-3.433;-3.433;0.019;0.156
395;Model 3;Method 1;168;0.35;semester2_delta;-0.25;-0.278;-0.276;-0.112;0.128
396;Model 3;Method 1;168;0.35;alpha;0.35;0.415;0.413;-0.186;0.006
397;Model 3;Method 1;168;0.5;(Intercept)_nu;2.5;2.512;2.51;-0.005;0.006
398;Model 3;Method 1;168;0.5;sent_nu;0.1;0.104;0.104;-0.04;0.005
399;Model 3;Method 1;168;0.5;cost_nu;-0.1;-0.102;-0.101;-0.02;0.004
400;Model 3;Method 1;168;0.5;(Intercept)_delta;-3.5;-3.651;-3.625;-0.043;0.199
401;Model 3;Method 1;168;0.5;semester2_delta;-0.25;-0.258;-0.261;-0.032;0.125
402;Model 3;Method 1;168;0.5;alpha;0.5;0.511;0.508;-0.022;0.002
403;Model 3;Method 1;168;0.65;(Intercept)_nu;2.5;2.518;2.518;-0.007;0.006
404;Model 3;Method 1;168;0.65;sent_nu;0.1;0.097;0.095;0.03;0.005
405;Model 3;Method 1;168;0.65;cost_nu;-0.1;-0.102;-0.103;-0.02;0.003
406;Model 3;Method 1;168;0.65;(Intercept)_delta;-3.5;-3.616;-3.604;-0.033;0.135
407;Model 3;Method 1;168;0.65;semester2_delta;-0.25;-0.261;-0.26;-0.044;0.112
408;Model 3;Method 1;168;0.65;alpha;0.65;0.66;0.66;-0.015;0.003
409;Model 3;Method 1;168;0.8;(Intercept)_nu;2.5;2.531;2.532;-0.012;0.007
410;Model 3;Method 1;168;0.8;sent_nu;0.1;0.101;0.101;-0.01;0.004
411;Model 3;Method 1;168;0.8;cost_nu;-0.1;-0.1;-0.101;0;0.002
412;Model 3;Method 1;168;0.8;(Intercept)_delta;-3.5;-3.61;-3.601;-0.031;0.107
413;Model 3;Method 1;168;0.8;semester2_delta;-0.25;-0.266;-0.27;-0.064;0.103
414;Model 3;Method 1;168;0.8;alpha;0.8;0.806;0.805;-0.008;0.002
415;Model 3;Method 1;168;0.95;(Intercept)_nu;2.5;2.554;2.553;-0.022;0.009
416;Model 3;Method 1;168;0.95;sent_nu;0.1;0.101;0.101;-0.01;0.004
417;Model 3;Method 1;168;0.95;cost_nu;-0.1;-0.101;-0.1;-0.01;0.001
418;Model 3;Method 1;168;0.95;(Intercept)_delta;-3.5;-3.692;-3.675;-0.055;0.137
419;Model 3;Method 1;168;0.95;semester2_delta;-0.25;-0.266;-0.263;-0.064;0.104
420;Model 3;Method 1;168;0.95;alpha;0.95;0.944;0.948;0.006;0.001
421;Model 3;Method 2;84;0.35;(Intercept)_nu;2.5;1.644;1.637;0.342;0.78
422;Model 3;Method 2;84;0.35;sent_nu;0.1;0.101;0.102;-0.01;0.021
423;Model 3;Method 2;84;0.35;cost_nu;-0.1;-0.103;-0.105;-0.03;0.013
424;Model 3;Method 2;84;0.35;(Intercept)_delta;-3.5;-2.08;-2.024;0.406;2.239
425;Model 3;Method 2;84;0.35;semester2_delta;-0.25;-0.108;-0.108;0.568;0.222
426;Model 3;Method 2;84;0.35;alpha;0.35;0.452;0.446;-0.291;0.014
427;Model 3;Method 2;84;0.5;(Intercept)_nu;2.5;1.844;1.854;0.262;0.47
428;Model 3;Method 2;84;0.5;sent_nu;0.1;0.092;0.093;0.08;0.02
429;Model 3;Method 2;84;0.5;cost_nu;-0.1;-0.099;-0.102;0.01;0.01
430;Model 3;Method 2;84;0.5;(Intercept)_delta;-3.5;-2.285;-2.265;0.347;1.626
431;Model 3;Method 2;84;0.5;semester2_delta;-0.25;-0.155;-0.152;0.38;0.21
432;Model 3;Method 2;84;0.5;alpha;0.5;0.535;0.531;-0.07;0.006
433;Model 3;Method 2;84;0.65;(Intercept)_nu;2.5;2.091;2.095;0.164;0.194
434;Model 3;Method 2;84;0.65;sent_nu;0.1;0.097;0.097;0.03;0.016
435;Model 3;Method 2;84;0.65;cost_nu;-0.1;-0.1;-0.099;0;0.008
436;Model 3;Method 2;84;0.65;(Intercept)_delta;-3.5;-2.578;-2.563;0.263;0.991
437;Model 3;Method 2;84;0.65;semester2_delta;-0.25;-0.201;-0.205;0.196;0.184
438;Model 3;Method 2;84;0.65;alpha;0.65;0.668;0.665;-0.028;0.006
439;Model 3;Method 2;84;0.8;(Intercept)_nu;2.5;2.323;2.326;0.071;0.045
440;Model 3;Method 2;84;0.8;sent_nu;0.1;0.096;0.093;0.04;0.012
441;Model 3;Method 2;84;0.8;cost_nu;-0.1;-0.101;-0.101;-0.01;0.005
442;Model 3;Method 2;84;0.8;(Intercept)_delta;-3.5;-3.063;-3.049;0.125;0.326
443;Model 3;Method 2;84;0.8;semester2_delta;-0.25;-0.232;-0.235;0.072;0.18
444;Model 3;Method 2;84;0.8;alpha;0.8;0.82;0.82;-0.025;0.006
445;Model 3;Method 2;84;0.95;(Intercept)_nu;2.5;2.484;2.483;0.006;0.009
446;Model 3;Method 2;84;0.95;sent_nu;0.1;0.098;0.099;0.02;0.008
447;Model 3;Method 2;84;0.95;cost_nu;-0.1;-0.1;-0.1;0;0.003
448;Model 3;Method 2;84;0.95;(Intercept)_delta;-3.5;-3.516;-3.502;-0.005;0.136
449;Model 3;Method 2;84;0.95;semester2_delta;-0.25;-0.267;-0.269;-0.068;0.188
450;Model 3;Method 2;84;0.95;alpha;0.95;0.949;0.961;0.001;0.002
451;Model 3;Method 2;144;0.35;(Intercept)_nu;2.5;1.342;1.374;0.463;1.438
452;Model 3;Method 2;144;0.35;sent_nu;0.1;0.063;0.072;0.37;0.035
453;Model 3;Method 2;144;0.35;cost_nu;-0.1;-0.089;-0.091;0.11;0.023
454;Model 3;Method 2;144;0.35;(Intercept)_delta;-3.5;-3.547;-3.496;-0.013;0.313
455;Model 3;Method 2;144;0.35;semester2_delta;-0.25;-0.294;-0.302;-0.176;0.205
456;Model 3;Method 2;144;0.35;alpha;0.35;0.469;0.465;-0.34;0.015
457;Model 3;Method 2;144;0.5;(Intercept)_nu;2.5;1.514;1.506;0.394;1.058
458;Model 3;Method 2;144;0.5;sent_nu;0.1;0.067;0.07;0.33;0.026
459;Model 3;Method 2;144;0.5;cost_nu;-0.1;-0.097;-0.099;0.03;0.017
460;Model 3;Method 2;144;0.5;(Intercept)_delta;-3.5;-3.766;-3.749;-0.076;0.292
461;Model 3;Method 2;144;0.5;semester2_delta;-0.25;-0.251;-0.245;-0.004;0.16
462;Model 3;Method 2;144;0.5;alpha;0.5;0.52;0.515;-0.04;0.003
463;Model 3;Method 2;144;0.65;(Intercept)_nu;2.5;2.071;2.086;0.172;0.205
464;Model 3;Method 2;144;0.65;sent_nu;0.1;0.092;0.095;0.08;0.01
465;Model 3;Method 2;144;0.65;cost_nu;-0.1;-0.099;-0.1;0.01;0.005
466;Model 3;Method 2;144;0.65;(Intercept)_delta;-3.5;-2.555;-2.535;0.27;0.983
467;Model 3;Method 2;144;0.65;semester2_delta;-0.25;-0.203;-0.206;0.188;0.109
468;Model 3;Method 2;144;0.65;alpha;0.65;0.661;0.664;-0.017;0.004
469;Model 3;Method 2;144;0.8;(Intercept)_nu;2.5;2.293;2.296;0.083;0.05
470;Model 3;Method 2;144;0.8;sent_nu;0.1;0.1;0.1;0;0.006
471;Model 3;Method 2;144;0.8;cost_nu;-0.1;-0.099;-0.1;0.01;0.003
472;Model 3;Method 2;144;0.8;(Intercept)_delta;-3.5;-2.968;-2.96;0.152;0.356
473;Model 3;Method 2;144;0.8;semester2_delta;-0.25;-0.215;-0.221;0.14;0.092
474;Model 3;Method 2;144;0.8;alpha;0.8;0.811;0.811;-0.014;0.003
475;Model 3;Method 2;144;0.95;(Intercept)_nu;2.5;2.466;2.463;0.014;0.006
476;Model 3;Method 2;144;0.95;sent_nu;0.1;0.098;0.096;0.02;0.004
477;Model 3;Method 2;144;0.95;cost_nu;-0.1;-0.1;-0.1;0;0.002
478;Model 3;Method 2;144;0.95;(Intercept)_delta;-3.5;-3.449;-3.433;0.015;0.08
479;Model 3;Method 2;144;0.95;semester2_delta;-0.25;-0.251;-0.251;-0.004;0.096
480;Model 3;Method 2;144;0.95;alpha;0.95;0.944;0.95;0.006;0.002
481;Model 3;Method 2;168;0.35;(Intercept)_nu;2.5;1.99;1.802;0.204;0.53
482;Model 3;Method 2;168;0.35;sent_nu;0.1;0.08;0.085;0.2;0.008
483;Model 3;Method 2;168;0.35;cost_nu;-0.1;-0.092;-0.098;0.08;0.006
484;Model 3;Method 2;168;0.35;(Intercept)_delta;-3.5;-3.825;-3.677;-0.093;0.564
485;Model 3;Method 2;168;0.35;semester2_delta;-0.25;-0.346;-0.361;-0.384;0.243
486;Model 3;Method 2;168;0.35;alpha;0.35;0.509;0.527;-0.454;0.028
487;Model 3;Method 2;168;0.5;(Intercept)_nu;2.5;1.518;1.518;0.393;0.996
488;Model 3;Method 2;168;0.5;sent_nu;0.1;0.055;0.059;0.45;0.023
489;Model 3;Method 2;168;0.5;cost_nu;-0.1;-0.097;-0.099;0.03;0.012
490;Model 3;Method 2;168;0.5;(Intercept)_delta;-3.5;-3.754;-3.741;-0.073;0.153
491;Model 3;Method 2;168;0.5;semester2_delta;-0.25;-0.293;-0.297;-0.172;0.134
492;Model 3;Method 2;168;0.5;alpha;0.5;0.568;0.562;-0.136;0.005
